Nombre,Descripción,Servicios,Teléfonos,Dirección,Sitio web,Horario,Búsqueda,Localidad
Caco Martín | Diseño de Páginas Web en Madrid Madrid,Diseño de páginas web en Madrid,,619407361,"Calle Torrecilla del Leal, 11, 28012, Madrid",http://cacomartin.com/?utm_campaign=paginasamarillas&utm_source=paginasamarillas&utm_medium=referral,", , , ,",informática,madrid
Agencia Astorga Madrid,Agencias inmobiliarias en Madrid,,914463796914463763,"Calle de Donoso Cortés, 8 2-DCHA, 28015, Madrid",http://www.agenciastorga.com/?utm_campaign=paginasamarillas&utm_source=paginasamarillas&utm_medium=referral,", , , , , , , , ,",informática,madrid
JELP SERVICIOS INFORMATICOS S.L. Madrid,"Informática: servicio integral en Madrid , Informática en Madrid",,616858888,"Calle de Badajoz, 5 , 28027, Madrid",http://www.jelp.es/?utm_campaign=paginasamarillas&utm_source=paginasamarillas&utm_medium=referral,", , , ,",informática,madrid
Ciber Locutorio Madrid,Locutorios telefónicos en Madrid,,915116262810525987,"Avenida CARABANCHEL ALTO, 50 LOCAL, 28044, Madrid",,", , , , , ,",informática,madrid
Inexto Madrid,"Informática: diseño y programación a medida (software) en Madrid , Informática en Madrid",,+34609340775,"Paseo Castellana, 115 2º Izda., 28046, Madrid",http://www.inexto.com/?utm_campaign=paginasamarillas&utm_source=paginasamarillas&utm_medium=referral,", , , ,",informática,madrid
SSDivision Technology Madrid,"E-services: consultorías tecnológicas en Madrid , E-services en Madrid",,+34653768510,"Paseo de la Castellana, 194 , 28046, Madrid",https://www.hadronsystems.es/,,informática,madrid
Gyrus Madrid,"E-services: consultorías tecnológicas en Madrid , E-services en Madrid",,+34609592932+34638490796,"Carrera San Jerónimo, 17, 28014, Madrid",https://gyrusds.io/,", , , ,",informática,madrid
Pedro Berciano Falagan Madrid,"Informática: servicio integral en Madrid , Informática en Madrid",,690931132914374910,"Plaza Corpus Barga, 3, 28053, Madrid",,,informática,madrid
Alquiler de TPV Madrid,"Terminales punto de venta (tpv): instalación y mantenimiento en Madrid , Terminales punto de venta (tpv) en Madrid",,915295000,"Calle Florencio García, 13 , 28027, Madrid",https://alquilerdetpv.es/,", , , , , , , , ,",informática,madrid
S R Tecnologías Aplicadas Madrid,"Informática: servicios a empresas en Madrid , Informática en Madrid",,+34913770080+34607764668,"Calle marques pico velasco, 45 local 5, 28027, Madrid",,,informática,madrid
